celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,week_1_judge_avg_score,week_1_judge_rank,week_2_judge_avg_score,week_2_judge_rank,week_3_judge_avg_score,week_3_judge_rank,week_4_judge_avg_score,week_4_judge_rank,week_5_judge_avg_score,week_5_judge_rank,week_6_judge_avg_score,week_6_judge_rank,week_7_judge_avg_score,week_7_judge_rank,week_8_judge_avg_score,week_8_judge_rank,week_9_judge_avg_score,week_9_judge_rank,week_10_judge_avg_score,week_10_judge_rank,week_11_judge_avg_score,week_11_judge_rank
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2,6.666666666666667,1.0,8.666666666666666,1.0,8.0,2.0,7.0,3.0,9.0,1.0,9.0,2.0,,,,,,,,,,
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1,4.333333333333333,6.0,5.666666666666667,5.0,7.0,4.0,8.666666666666666,1.0,7.833333333333333,2.0,9.166666666666666,1.0,,,,,,,,,,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,5,6.0,4.0,4.666666666666667,6.0,4.333333333333333,5.0,,,,,,,,,,,,,,,,
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,4,6.666666666666667,1.0,8.0,2.0,8.666666666666666,1.0,8.333333333333334,2.0,,,,,,,,,,,,,,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3,6.666666666666667,1.0,7.0,3.0,7.333333333333333,3.0,6.666666666666667,4.0,7.5,3.0,,,,,,,,,,,,
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,6,6.0,4.0,6.333333333333333,4.0,,,,,,,,,,,,,,,,,,
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,9,7.666666666666667,2.0,5.666666666666667,8.0,,,,,,,,,,,,,,,,,,
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,6,6.666666666666667,6.0,7.333333333333333,5.0,8.666666666666666,3.0,8.333333333333334,4.0,7.333333333333333,6.0,,,,,,,,,,,,
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,5,6.0,8.0,7.333333333333333,5.0,7.333333333333333,5.0,7.0,6.0,8.0,4.0,7.666666666666667,4.0,,,,,,,,,,
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,4,6.333333333333333,7.0,6.666666666666667,7.0,8.333333333333334,4.0,8.666666666666666,2.0,8.333333333333334,3.0,9.0,3.0,8.833333333333334,3.0,,,,,,,,
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3,7.333333333333333,4.0,9.666666666666666,1.0,9.0,1.0,8.666666666666666,2.0,10.0,1.0,10.0,1.0,9.166666666666666,1.0,9.5555,2.0,,,,,,
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2,7.0,5.0,7.666666666666667,4.0,6.333333333333333,7.0,8.0,5.0,7.666666666666667,5.0,7.666666666666667,4.0,6.833333333333333,4.0,8.888866666666667,3.0,,,,,,
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,8,7.666666666666667,2.0,8.0,3.0,7.333333333333333,5.0,,,,,,,,,,,,,,,,
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,7,4.0,10.0,5.333333333333333,9.0,4.666666666666667,8.0,2.6666666666666665,7.0,,,,,,,,,,,,,,
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1,8.0,1.0,9.0,2.0,9.0,1.0,9.333333333333334,1.0,9.0,2.0,10.0,1.0,9.166666666666666,1.0,9.6666,1.0,,,,,,
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,10,4.333333333333333,9.0,,,,,,,,,,,,,,,,,,,,
Kate Flannery,Pasha Pashkov,Actor/Actress,Pennsylvania,United States,55,28,7,5.0,9.0,7.0,2.0,8.0,1.0,6.5,8.0,8.0,5.0,9.0,1.0,8.0,7.0,8.6666,5.0,,,,,,
James Van Der Beek,Emma Slater,Actor/Actress,Connecticut,United States,42,28,5,7.0,1.0,6.666666666666667,3.0,7.666666666666667,3.0,7.0,6.0,8.666666666666666,2.0,9.0,1.0,9.0,1.0,10.6666,1.0,9.0,3.0,8.5,5.0,,
Kel Mitchell,Witney Carson,Actor/Actress,Illinois,United States,41,28,2,5.333333333333333,7.0,6.666666666666667,3.0,6.666666666666667,6.0,8.0,1.0,8.666666666666666,2.0,8.666666666666666,4.0,8.5,5.0,9.999933333333333,4.0,9.25,2.0,9.5,2.0,9.833333333333334,2.0
Ray Lewis,Cheryl Burke,Athlete,Florida,United States,44,28,11,5.0,9.0,5.0,10.0,,,,,,,,,,,,,,,,,,
Lamar Odom,Peta Murgatroyd,Athlete,New York,United States,39,28,10,3.6666666666666665,12.0,4.0,12.0,4.0,10.0,5.0,10.0,,,,,,,,,,,,,,
Sailor Brinkley-Cook,Valentin Chmerkovskiy,Model,New York,United States,21,28,9,6.0,4.0,6.0,8.0,7.666666666666667,3.0,7.75,5.0,8.0,5.0,9.0,1.0,,,,,,,,,,
Sean Spicer,Lindsay Arnold,Politician,New York,United States,48,28,6,4.0,11.0,5.333333333333333,9.0,5.0,9.0,5.25,9.0,6.333333333333333,9.0,7.0,9.0,7.0,8.0,6.666666666666667,7.0,6.25,6.0,,,,
Mary Wilson,Brandon Armstrong,Singer/Rapper,Nevada,United States,75,28,12,5.666666666666667,5.0,5.0,10.0,,,,,,,,,,,,,,,,,,
Lauren Alaina,Gleb Savchenko,Singer/Rapper,Georgia,United States,24,28,4,6.333333333333333,3.0,6.333333333333333,6.0,6.666666666666667,6.0,8.0,1.0,7.666666666666667,7.0,8.666666666666666,4.0,9.0,1.0,8.0,6.0,8.75,5.0,9.0,3.0,9.5,4.0
Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26,28,3,5.333333333333333,7.0,6.666666666666667,3.0,8.0,1.0,8.0,1.0,9.0,1.0,8.333333333333334,6.0,9.0,1.0,10.0,3.0,10.0,1.0,9.833333333333334,1.0,10.0,1.0
Karamo Brown,Jenna Johnson,TV Personality,Texas,United States,38,28,8,5.666666666666667,5.0,6.333333333333333,6.0,5.333333333333333,8.0,7.0,6.0,7.0,8.0,8.333333333333334,6.0,8.166666666666666,6.0,,,,,,,,
Hannah Brown,Alan Bersten,TV Personality,Alabama,United States,24,28,1,6.666666666666667,2.0,8.0,1.0,7.0,5.0,8.0,1.0,8.333333333333334,4.0,8.0,8.0,8.666666666666666,4.0,10.333266666666667,2.0,8.875,4.0,9.0,3.0,9.666666666666666,3.0
Anne Heche,Keo Motsepe,Actor/Actress,Ohio,United States,51,29,13,6.0,6.0,6.0,6.0,5.0,13.0,7.0,10.0,,,,,,,,,,,,,,
Jesse Metcalfe,Sharna Burgess,Actor/Actress,California,United States,41,29,12,6.0,6.0,6.666666666666667,4.0,6.666666666666667,9.0,7.0,10.0,6.333333333333333,11.0,,,,,,,,,,,,
Chrishell Stause,Gleb Savchenko,Actor/Actress,Kentucky,United States,39,29,8,4.333333333333333,13.0,6.0,6.0,7.333333333333333,4.0,7.333333333333333,8.0,6.333333333333333,11.0,8.0,7.0,8.666666666666666,5.0,9.0,5.0,,,,,,
Skai Jackson,Alan Bersten,Actor/Actress,New York,United States,18,29,5,7.0,1.0,5.0,14.0,6.0,11.0,9.333333333333334,1.0,8.0,5.0,6.0,11.0,9.0,2.0,8.999933333333333,7.0,9.6666,3.0,9.5,4.0,,
Justina Machado,Sasha Farber,Actor/Actress,Illinois,United States,48,29,4,7.0,1.0,7.0,2.0,6.333333333333333,10.0,8.0,3.0,8.0,5.0,9.0,1.0,8.666666666666666,5.0,9.6666,3.0,8.6666,5.0,9.666666666666666,3.0,10.0,1.0
Charles Oakley,Emma Slater,Athlete,Ohio,United States,56,29,15,4.0,14.0,5.0,14.0,,,,,,,,,,,,,,,,,,
Veron Davis,Peta Murgatroyd,Athlete,Washington D.C.,United States,36,29,11,5.666666666666667,11.0,6.0,6.0,7.333333333333333,4.0,7.333333333333333,8.0,7.0,10.0,7.0,10.0,,,,,,,,,,
Johnny Weir,Britt Stewart,Athlete,Pennsylvania,United States,36,29,6,6.0,6.0,6.0,6.0,8.0,1.0,8.0,3.0,9.666666666666666,1.0,7.333333333333333,9.0,9.0,2.0,10.0,1.0,10.0,1.0,9.5,4.0,,
Nev Schulman,Jenna Johnson,Producer,New York,United States,35,29,2,6.666666666666667,3.0,7.0,2.0,8.0,1.0,8.0,3.0,8.666666666666666,3.0,8.666666666666666,5.0,10.0,1.0,10.0,1.0,9.6666,3.0,10.0,1.0,10.0,1.0
AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42,29,7,6.0,6.0,6.333333333333333,5.0,7.0,7.0,8.0,3.0,8.0,5.0,9.0,1.0,8.666666666666666,5.0,9.0,5.0,8.333266666666667,6.0,,,,
Nelly,Daniella Karagach,Singer/Rapper,Texas,United States,45,29,3,5.333333333333333,12.0,6.0,6.0,6.0,11.0,7.0,10.0,8.0,5.0,8.0,7.0,9.0,2.0,8.0,8.0,8.0,7.0,9.333333333333334,6.0,9.5,4.0
Kaitlyn Bristowe,Artem Chigvintsev,TV Personality,,Canada,35,29,1,6.666666666666667,3.0,7.333333333333333,1.0,7.666666666666667,3.0,8.333333333333334,2.0,9.0,2.0,9.0,1.0,8.0,9.0,9.333333333333334,4.0,10.0,1.0,10.0,1.0,10.0,1.0
Carole Baskin,Pasha Pashkov,TV Personality,Texas,United States,59,29,14,3.6666666666666665,15.0,5.333333333333333,12.0,4.0,14.0,,,,,,,,,,,,,,,,
Monica Aldama,Valentin Chmerkovskiy,TV Personality,Alabama,United States,48,29,10,6.333333333333333,5.0,5.333333333333333,12.0,7.0,7.0,8.0,3.0,8.666666666666666,3.0,9.0,1.0,7.333333333333333,10.0,,,,,,,,
Jeannie Mai,Brandon Armstrong,TV Personality,California,United States,41,29,9,6.0,6.0,6.0,6.0,7.333333333333333,4.0,7.0,10.0,8.0,5.0,8.333333333333334,6.0,8.333333333333334,8.0,,,,,,,,
Martin Kove,Britt Stewart,Actor/Actress,New York,United States,75,30,15,3.25,15.0,3.75,15.0,,,,,,,,,,,,,,,,,,
Brian Austin Green,Sharna Burgess,Actor/Actress,California,United States,48,30,13,6.0,9.0,5.75,13.0,6.333333333333333,12.0,6.5,13.0,,,,,,,,,,,,,,
Melora Hardin,Artem Chigvintsev,Actor/Actress,Texas,United States,54,30,6,6.5,5.0,6.75,5.0,7.666666666666667,4.0,9.125,1.0,9.0,3.0,8.5,8.0,9.5,3.0,10.5,1.0,9.0,5.0,,,,
Matt James,Lindsay Arnold,Athlete,North Carolina,United States,29,30,12,6.0,9.0,5.5,14.0,6.666666666666667,10.0,7.125,12.0,,,,,,,,,,,,,,
"Mike ""The Miz"" Mizanin",Witney Carson,Athlete,Ohio,United States,40,30,9,6.0,9.0,6.5,8.0,7.333333333333333,5.0,8.125,7.0,8.0,9.0,8.5,8.0,8.0,9.0,,,,,,,,
Suni Lee,Sasha Farber,Athlete,Minnesota,United States,18,30,5,7.0,2.0,7.0,4.0,7.0,7.0,8.5,4.0,9.0,3.0,9.0,5.0,8.5,6.0,10.5,1.0,9.375,3.0,,,,
Iman Shumpert,Daniella Karagach,Athlete,Illinois,United States,31,30,1,5.25,14.0,6.25,9.0,6.333333333333333,12.0,7.875,9.0,7.0,11.0,10.0,1.0,8.5,6.0,8.75,7.0,9.375,3.0,10.0,1.0,,
Cody Rigsby,Cheryl Burke,Fitness Instructor,California,United States,34,30,3,6.0,9.0,6.0,10.0,6.0,14.0,7.25,11.0,8.0,9.0,9.0,5.0,9.0,5.0,9.5,5.0,8.875,6.0,9.5,4.0,,
Melanie C,Gleb Savchenko,Singer/Rapper,,England,47,30,11,6.75,4.0,7.5,3.0,7.333333333333333,5.0,8.25,6.0,9.0,3.0,,,,,,,,,,,,
Jimmie Allen,Emma Slater,Singer/Rapper,Delaware,United States,36,30,7,5.5,13.0,6.75,5.0,6.666666666666667,10.0,8.125,7.0,8.5,8.0,9.5,3.0,9.5,3.0,8.0,8.0,,,,,,
Olivia Jade,Valentin Chmerkovskiy,Social Media Personality,California,United States,21,30,8,6.25,7.0,6.75,5.0,8.0,1.0,8.75,2.0,9.0,3.0,9.0,5.0,10.5,1.0,9.0,6.0,,,,,,
JoJo Siwa,Jenna Johnson,Social Media Personality,Nebraska,United States,18,30,2,7.25,1.0,7.75,2.0,8.0,1.0,8.75,2.0,10.0,1.0,10.0,1.0,9.75,2.0,10.25,4.0,10.0,1.0,10.0,1.0,,
Christine Chiu,Pasha Pashkov,TV Personality,,Taiwan China,38,30,14,6.25,7.0,6.0,10.0,7.0,7.0,,,,,,,,,,,,,,,,
Kenya Moore,Brandon Armstrong,TV Personality,Michigan,United States,50,30,10,6.5,5.0,6.0,10.0,7.0,7.0,7.375,10.0,9.0,3.0,8.0,10.0,,,,,,,,,,
Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39,30,4,7.0,2.0,8.0,1.0,8.0,1.0,8.5,4.0,9.75,2.0,9.5,3.0,8.5,6.0,10.5,1.0,9.875,2.0,9.75,3.0,,
Jason Lewis,Peta Murgatroyd,Actor/Actress,California,United States,51,31,16,4.5,15.0,,,,,,,,,,,,,,,,,,,,
Cheryl Ladd,Louis van Amstel,Actor/Actress,South Dakota,United States,71,31,14,5.25,10.0,5.25,15.0,6.0,13.0,,,,,,,,,,,,,,,,
Selma Blair,Sasha Farber,Actor/Actress,Michigan,United States,50,31,12,7.0,3.0,7.0,6.0,7.0,9.0,8.0,6.0,10.0,4.0,,,,,,,,,,,,
Joseph Baena,Daniella Karagach,Actor/Actress,California,United States,24,31,11,5.75,9.0,6.0,13.0,7.25,7.0,7.0,11.0,8.75,10.0,,,,,,,,,,,,
Trevor Donovan,Emma Slater,Actor/Actress,California,United States,39,31,6,5.25,10.0,7.5,4.0,6.75,10.0,7.0,11.0,9.0,7.0,8.5,5.0,9.75,1.0,9.75,5.0,8.125,6.0,,,,
Daniel Durant,Britt Stewart,Actor/Actress,Michigan,United States,32,31,5,6.75,6.0,7.25,5.0,7.75,5.0,7.25,9.0,8.375,11.0,8.5,5.0,9.125,4.0,9.75,5.0,8.625,5.0,,,,
Wayne Brady,Witney Carson,Comedian,Georgia,United States,50,31,3,7.25,2.0,8.0,1.0,8.25,1.0,9.0,1.0,10.25,2.0,8.5,5.0,9.5,3.0,11.25,1.0,9.125,3.0,9.5,3.0,,
Sam Champion,Cheryl Burke,News Anchor,Kentucky,United States,61,31,13,5.0,12.0,6.5,11.0,6.25,12.0,6.25,13.0,,,,,,,,,,,,,,
Jessie James Decker,Alan Bersten,Singer/Rapper,,Italy,34,31,10,5.0,12.0,6.25,12.0,6.5,11.0,7.75,8.0,9.0,7.0,8.0,9.0,,,,,,,,,,
Jordin Sparks,Brandon Armstrong,Singer/Rapper,Arizona,United States,32,31,9,6.5,7.0,6.75,9.0,7.25,7.0,8.5,4.0,8.875,9.0,8.5,5.0,8.625,8.0,,,,,,,,
Heidi D'Amelio,Artem Chigvintsev,Social Media Personality,Louisiana,United States,50,31,8,6.0,8.0,7.0,6.0,8.0,4.0,8.5,4.0,9.75,5.0,9.0,3.0,8.75,7.0,8.75,7.0,,,,,,
Charli D'Amelio,Mark Ballas,Social Media Personality,Connecticut,United States,18,31,1,8.0,1.0,8.0,1.0,8.25,1.0,9.0,1.0,10.5,1.0,10.0,1.0,9.75,1.0,11.25,1.0,10.0,1.0,10.0,1.0,,
Teresa Giudice,Pasha Pashkov,TV Personality,New Jersey,United States,50,31,15,5.0,12.0,5.75,14.0,,,,,,,,,,,,,,,,,,
Vinny Guadagnino,Koko Iwasaki,TV Personality,New York,United States,34,31,7,4.25,16.0,6.75,9.0,5.75,14.0,7.25,9.0,7.75,12.0,7.0,10.0,7.875,9.0,7.25,8.0,,,,,,
Shangela,Gleb Savchenko,TV Personality,Texas,United States,40,31,4,7.0,3.0,7.0,6.0,7.5,6.0,8.0,6.0,9.625,6.0,9.0,3.0,9.125,4.0,10.5,3.0,9.125,3.0,9.5,3.0,,
Gabby Windey,Valentin Chmerkovskiy,TV Personality,Illinois,United States,31,31,2,7.0,3.0,8.0,1.0,8.25,1.0,9.0,1.0,10.25,2.0,9.25,2.0,8.875,6.0,10.0,4.0,10.0,1.0,10.0,1.0,,
Jamie Lynn Spears,Alan Bersten,Actor/Actress,Mississippi,United States,32,32,13,5.0,9.0,5.333333333333333,9.0,,,,,,,,,,,,,,,,,,
Mira Sorvino,Gleb Savchenko,Actor/Actress,New York,United States,55,32,10,5.666666666666667,7.0,6.0,7.0,6.5,6.0,7.0,6.0,7.333333333333333,8.0,,,,,,,,,,,,
Barry Williams,Peta Murgatroyd,Actor/Actress,California,United States,68,32,7,5.333333333333333,8.0,5.0,10.0,6.25,7.0,6.0,10.0,8.0,4.0,8.0,7.0,8.125,7.0,8.75,5.0,,,,,,
Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49,32,5,4.333333333333333,11.0,6.333333333333333,6.0,6.0,8.0,6.0,10.0,7.0,9.0,7.75,8.0,8.75,6.0,9.0,4.0,8.0,5.0,8.5,5.0,8.833333333333334,5.0
Xochitl Gomez,Valentin Chmerkovskiy,Actor/Actress,California,United States,17,32,1,6.0,5.0,8.0,1.0,8.0,3.0,9.0,1.0,9.333333333333334,1.0,10.5,1.0,9.25,1.0,10.0,2.0,10.25,2.0,10.0,1.0,10.0,1.0
Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38,32,11,6.0,5.0,5.0,10.0,5.5,11.0,7.0,6.0,,,,,,,,,,,,,,
Matt Walsh,Koko Iwasaki,Comedian,Illinois,United States,58,32,14,4.0,12.0,,,,,,,,,,,,,,,,,,,,
Tyson Beckford,Jenna Johnson,Model,New York,United States,52,32,12,4.0,12.0,6.0,7.0,5.0,12.0,,,,,,,,,,,,,,,,
Jason Mraz,Daniella Karagach,Singer/Rapper,Virginia,United States,46,32,2,7.0,2.0,8.0,1.0,8.5,1.0,8.0,3.0,9.0,3.0,9.75,3.0,9.0,4.0,8.25,6.0,10.75,1.0,9.5,4.0,10.0,1.0
Lele Pons,Brandon Armstrong,Social Media Personality,,Venezuela,27,32,8,6.333333333333333,4.0,7.0,3.0,6.75,5.0,7.333333333333333,5.0,8.0,4.0,9.25,5.0,9.125,3.0,,,,,,,,
Harry Jowsey,Rylee Arnold,TV Personality,,Australia,26,32,6,4.0,12.0,5.0,10.0,6.0,8.0,7.0,6.0,6.0,10.0,7.25,9.0,8.0,8.0,7.0,7.0,7.5,6.0,,,,
Mauricio Umansky,Emma Slater,TV Personality,,Mexico,53,32,9,5.0,9.0,4.0,13.0,5.75,10.0,6.333333333333333,9.0,8.0,4.0,8.25,6.0,,,,,,,,,,
Charity Lawson,Artem Chigvintsev,TV Personality,Georgia,United States,27,32,4,7.333333333333333,1.0,7.0,3.0,8.0,3.0,8.0,3.0,9.333333333333334,1.0,9.5,4.0,9.0,4.0,9.75,3.0,9.5,3.0,9.833333333333334,2.0,9.833333333333334,3.0
Ariana Madix,Pasha Pashkov,TV Personality,Florida,United States,38,32,3,7.0,2.0,6.666666666666667,5.0,8.5,1.0,8.333333333333334,2.0,8.0,4.0,10.25,2.0,9.25,1.0,10.5,1.0,9.25,4.0,9.666666666666666,3.0,9.833333333333334,3.0
Tori Spelling,Pasha Pashkov,Actor/Actress,California,United States,51,33,12,5.666666666666667,11.0,6.333333333333333,9.0,,,,,,,,,,,,,,,,,,
Eric Roberts,Britt Stewart,Actor/Actress,California,United States,68,33,10,5.0,13.0,5.0,12.0,5.75,10.0,,,,,,,,,,,,,,,,
Reginald VelJohnson,Emma Slater,Actor/Actress,New York,United States,74,33,10,5.333333333333333,12.0,5.0,12.0,5.25,11.0,,,,,,,,,,,,,,,,
Chandler Kinney,Brandon Armstrong,Actor/Actress,California,United States,24,33,3,7.666666666666667,1.0,8.0,1.0,8.625,2.0,8.0,4.0,9.0,1.0,10.666666666666666,1.0,10.0,1.0,9.666666666666666,1.0,10.0,1.0,,,,
Dwight Howard ,Daniella Karagach,Athlete,Georgia,United States,38,33,6,7.333333333333333,2.0,7.333333333333333,2.0,6.5,9.0,7.25,9.0,8.0,6.0,10.333333333333334,3.0,8.0,6.0,,,,,,,,
Danny Amendola,Witney Carson,Athlete,Texas,United States,39,33,5,6.666666666666667,5.0,7.0,5.0,7.5,6.0,9.0,1.0,8.5,4.0,9.333333333333334,5.0,8.5,5.0,9.0,4.0,9.333333333333334,5.0,,,,
Stephen Nedoroscik,Rylee Arnold,Athlete,Florida,United States,26,33,4,7.0,3.0,7.333333333333333,2.0,7.75,3.0,8.25,3.0,8.0,6.0,9.333333333333334,5.0,9.0,3.0,8.833333333333334,5.0,9.833333333333334,2.0,,,,
Ilona Maher,Alan Bersten,Athlete,California,United States,28,33,2,6.0,8.0,7.0,5.0,7.0,7.0,8.0,4.0,8.666666666666666,2.0,8.0,7.0,8.666666666666666,4.0,9.5,3.0,9.5,4.0,,,,
Anna Delvey,Ezra Sosa,Con artist,,Russia,33,33,12,6.0,8.0,5.666666666666667,11.0,,,,,,,,,,,,,,,,,,
Brooks Nader,Gleb Savchenko,Model,New York,United States,27,33,9,6.0,8.0,6.666666666666667,8.0,7.625,5.0,8.0,4.0,,,,,,,,,,,,,,
Phaedra Parks,Val Chmerkovskiy,TV Personality,Georgia,United States,51,33,8,6.333333333333333,6.0,7.0,5.0,7.0,7.0,8.0,4.0,8.0,6.0,,,,,,,,,,,,
Jenn Tran,Sasha Farber,TV Personality,Florida,United States,26,33,7,6.333333333333333,6.0,6.333333333333333,9.0,7.75,3.0,8.0,4.0,8.5,4.0,10.333333333333334,3.0,,,,,,,,,,
Joey Graziadei,Jenna Johnson,TV Personality,Louisiana,United States,29,33,1,7.0,3.0,7.333333333333333,2.0,8.75,1.0,9.0,1.0,8.666666666666666,2.0,10.666666666666666,1.0,9.166666666666666,2.0,9.666666666666666,1.0,9.833333333333334,2.0,,,,
Corey Feldman,Jenna Johnson,Actor/Actress,California,United States,54,34,13,4.5,13.0,5.0,14.0,,,,,,,,,,,,,,,,,,
Danielle Fishel,Pasha Pashkov,Actor/Actress,California,United States,44,34,8,6.0,6.0,6.333333333333333,10.0,7.0,8.0,7.0,9.0,7.25,8.0,9.0,3.0,8.75,6.0,9.25,7.0,,,,,,
Elaine Hendrix,Alan Bersten (Rashad Jennings week 9),Actor/Actress,Georgia,United States,55,34,5,6.0,6.0,7.0,5.0,7.0,8.0,8.0,2.0,7.5,6.0,9.0,3.0,8.0,8.0,9.375,6.0,9.0,6.0,9.5,4.0,9.6666,5.0
Baron Davis,Britt Stewart,Athlete,California,United States,46,34,13,5.0,9.0,6.0,11.0,,,,,,,,,,,,,,,,,,
Jordan Chiles,Ezra Sosa (Apolo Anton Ohno week 9),Athlete,Texas,United States,24,34,3,5.0,9.0,7.333333333333333,1.0,8.0,1.0,8.0,2.0,8.0,5.0,9.75,1.0,9.5,4.0,9.75,2.0,9.75,5.0,9.5,4.0,9.888866666666667,2.0
Andy Richter,Emma Slater/Kaitlyn Bristowe (week 9),Comedian,California,United States,59,34,7,4.5,13.0,5.333333333333333,13.0,6.0,11.0,6.0,11.0,6.0,10.0,6.75,10.0,7.25,9.0,8.5,8.0,7.25,7.0,,,,
Robert Irwin,Witney Carson (Xoshitl Gomez week 9),Conservationist,,Australia,22,34,1,7.5,1.0,7.333333333333333,1.0,7.333333333333333,5.0,7.333333333333333,8.0,8.75,2.0,9.0,3.0,10.25,3.0,9.5,4.0,10.5,1.0,9.833333333333334,1.0,9.888866666666667,2.0
Hilaria Baldwin,Gleb Savchenko,Entrepreneur,New York,United States,41,34,11,7.0,3.0,7.0,5.0,7.333333333333333,5.0,7.666666666666667,5.0,,,,,,,,,,,,,,
Lauren Jauregui,Brandon Armstrong,Singer/Rapper,Florida,United States,29,34,12,6.5,4.0,7.0,5.0,6.0,11.0,,,,,,,,,,,,,,,,
Scott Hoying,Rylee Arnold,Singer/Rapper,California,United States,34,34,10,5.0,9.0,6.0,11.0,7.333333333333333,5.0,7.0,9.0,7.5,6.0,7.0,9.0,,,,,,,,,,
Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Florida,United States,24,34,2,6.5,4.0,7.0,5.0,7.666666666666667,3.0,8.0,2.0,8.75,2.0,8.75,6.0,10.75,1.0,9.625,3.0,10.0,4.0,9.666666666666666,2.0,10.0,1.0
Jen Affleck,Jan Ravnik,TV Personality,Utah,United States,26,34,9,6.0,6.0,7.333333333333333,1.0,6.333333333333333,10.0,7.666666666666667,5.0,7.25,8.0,8.0,7.0,8.5,7.0,,,,,,,,
Whitney Leavitt,Mark Ballas,TV Personality,Utah,United States,32,34,6,7.5,1.0,7.333333333333333,1.0,8.0,1.0,8.333333333333334,1.0,8.25,4.0,9.75,1.0,10.5,2.0,9.875,1.0,10.5,1.0,9.666666666666666,2.0,,
Dylan Efron,Daniella Karagach (Rumer Willis week 9),TV Personality,California,United States,33,34,4,5.0,9.0,6.666666666666667,9.0,7.666666666666667,3.0,7.666666666666667,5.0,9.0,1.0,8.0,7.0,9.5,4.0,9.5,4.0,10.5,1.0,9.166666666666666,6.0,9.777733333333334,4.0
