celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,week1排名,week2排名,week3排名,week4排名,week5排名,week6排名,week7排名,week8排名,week9排名,week10排名,week11排名
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,9,9.0,10.0,9.0,,,,,,,,
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,8,5.0,5.0,2.0,6.0,,,,,,,
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,4,6.0,3.0,1.0,5.0,3.0,4.0,4.0,4.0,,,
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3,3.0,1.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,,
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2,1.0,4.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1,2.0,2.0,6.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,10,8.0,8.0,,,,,,,,,
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,7,4.0,6.0,8.0,4.0,5.0,,,,,,
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,6,10.0,7.0,4.0,8.0,7.0,,,,,,
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,5,7.0,9.0,7.0,7.0,6.0,5.0,5.0,,,,
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,11,11.0,,,,,,,,,,
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,6,8.0,7.0,8.0,7.0,6.0,7.0,5.0,,,,
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,4,3.0,5.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,,
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,8,9.0,11.0,10.0,9.0,8.0,,,,,,
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3,2.0,1.0,7.0,6.0,2.0,2.0,1.0,3.0,2.0,3.0,
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1,4.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,10,5.0,10.0,9.0,,,,,,,,
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,11,6.0,9.0,,,,,,,,,
Heather Mills,Jonathan Roberts,Model,,England,39,4,7,7.0,4.0,3.0,4.0,5.0,5.0,,,,,
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,5,11.0,6.0,6.0,5.0,7.0,6.0,6.0,5.0,,,
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2,1.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,9,10.0,8.0,5.0,8.0,,,,,,,
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,5,7.0,6.0,7.0,5.0,3.0,4.0,5.0,5.0,,,
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,6,4.0,7.0,3.0,7.0,4.0,7.0,6.0,,,,
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,7,2.0,3.0,5.0,1.0,2.0,6.0,,,,,
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,4,6.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,,
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,9,11.0,8.0,8.0,8.0,,,,,,,
Josie Maran,Alec Mazo,Model,California,United States,29,5,12,12.0,,,,,,,,,,
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,11,9.0,9.0,,,,,,,,,
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1,1.0,1.0,6.0,2.0,6.0,2.0,4.0,1.0,1.0,2.0,
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2,3.0,4.0,2.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,10,10.0,11.0,10.0,,,,,,,,
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3,5.0,2.0,1.0,3.0,7.0,5.0,2.0,3.0,4.0,3.0,
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,8,8.0,10.0,9.0,9.0,8.0,,,,,,
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3,5.0,7.0,2.0,4.0,5.0,2.0,6.0,1.0,2.0,3.0,
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,10,9.0,11.0,10.0,,,,,,,,
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,8,3.0,8.0,3.0,8.0,8.0,,,,,,
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,7,6.0,5.0,7.0,7.0,7.0,7.0,,,,,
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,6,7.0,4.0,5.0,3.0,6.0,6.0,5.0,,,,
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,4,8.0,6.0,9.0,5.0,4.0,4.0,3.0,5.0,4.0,,
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2,4.0,1.0,4.0,1.0,2.0,5.0,1.0,3.0,3.0,2.0,
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,11,12.0,12.0,,,,,,,,,
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,12,10.0,10.0,,,,,,,,,
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,9,11.0,9.0,8.0,9.0,,,,,,,
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,5,2.0,3.0,6.0,6.0,3.0,3.0,4.0,4.0,,,
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,12,10.0,,,,,,,,,,
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,7,12.0,11.0,9.0,6.0,8.0,7.0,,,,,
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,6,8.0,6.0,7.0,3.0,6.0,5.0,4.0,,,,
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,4,5.0,4.0,5.0,4.0,2.0,4.0,5.0,4.0,4.0,,
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,10,7.0,7.0,,,,,,,,,
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,5,6.0,8.0,3.0,8.0,3.0,6.0,3.0,5.0,,,
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2,2.0,1.0,2.0,5.0,4.0,3.0,6.0,2.0,3.0,2.0,
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,13,13.0,,,,,,,,,,
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,8,4.0,3.0,6.0,7.0,7.0,,,,,,
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3,3.0,5.0,4.0,1.0,5.0,1.0,2.0,3.0,1.0,2.0,
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,11,9.0,9.0,,,,,,,,,
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,9,11.0,10.0,8.0,9.0,,,,,,,
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,
Gilles Marini,Cheryl Burke,Actor/Actress,,France,33,8,2,1.0,1.0,3.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,2.0
Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,8,12,9.0,8.0,11.0,,,,,,,,
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,9,6.0,12.0,6.0,7.0,7.0,,,,,,
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,7,10.0,6.0,8.0,8.0,8.0,6.0,7.0,,,,
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,4,12.0,5.0,5.0,4.0,6.0,7.0,6.0,4.0,5.0,4.0,
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1,2.0,3.0,1.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0
Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,8,10,13.0,11.0,12.0,11.0,,,,,,,
Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,8,13,11.0,10.0,,,,,,,,,
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,6,5.0,7.0,7.0,6.0,5.0,5.0,4.0,5.0,,,
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,5,4.0,4.0,4.0,3.0,4.0,2.0,5.0,2.0,4.0,,
Steve-O,Lacey Schwimmer,TV Personality,,England,34,8,8,7.0,13.0,10.0,9.0,9.0,8.0,,,,,
Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,8,11,8.0,9.0,9.0,10.0,,,,,,,
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3,3.0,2.0,2.0,2.0,3.0,1.0,1.0,6.0,1.0,3.0,3.0
Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,9,16,15.0,,,,,,,,,,
Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,9,12,12.0,9.0,11.0,,,,,,,,
Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,9,9.0,11.0,8.0,2.0,7.0,8.0,,,,,
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,6,6.0,7.0,9.0,7.0,4.0,5.0,7.0,,,,
Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,9,11,10.0,12.0,10.0,10.0,,,,,,,
Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,9,10,8.0,8.0,2.0,6.0,10.0,,,,,,
Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,8,7.0,10.0,7.0,11.0,9.0,7.0,,,,,
Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,7,11.0,5.0,12.0,9.0,8.0,9.0,6.0,,,,
Joanna Krupa,Derek Hough,Model,,Poland,30,9,4,1.0,6.0,3.0,3.0,5.0,1.0,1.0,3.0,2.0,,
Kathy Ireland,Tony Dovolani,Model,California,United States,46,9,14,14.0,14.0,,,,,,,,,
Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,9,13,13.0,13.0,13.0,,,,,,,,
Macy Gray,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,9,15,15.0,,,,,,,,,,
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,5,4.0,2.0,6.0,8.0,6.0,4.0,4.0,5.0,,,
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2,5.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,2.0,
Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1,3.0,3.0,4.0,4.0,1.0,3.0,2.0,4.0,4.0,1.0,
Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,9,3,2.0,4.0,5.0,5.0,3.0,6.0,3.0,2.0,3.0,3.0,
Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,10,9,10.0,8.0,8.0,8.0,,,,,,,
Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,10,11,8.0,7.0,,,,,,,,,
Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,5,7.0,5.0,4.0,7.0,7.0,6.0,6.0,5.0,,,
Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,10,11.0,11.0,10.0,,,,,,,,
Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,4,6.0,9.0,5.0,4.0,6.0,3.0,4.0,4.0,4.0,,
Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2,2.0,2.0,1.0,1.0,2.0,5.0,1.0,3.0,2.0,3.0,
Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,6,4.0,4.0,6.0,3.0,5.0,4.0,5.0,,,,
Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,
Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3,3.0,3.0,2.0,5.0,3.0,2.0,3.0,2.0,3.0,2.0,
Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,8,9.0,10.0,9.0,9.0,8.0,,,,,,
Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,7,5.0,6.0,7.0,6.0,4.0,7.0,,,,,
David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,11,12,12.0,,,,,,,,,,
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,8,8.0,8.0,8.0,8.0,7.0,,,,,,
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2,2.0,3.0,3.0,4.0,6.0,2.0,3.0,2.0,2.0,2.0,
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,
Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,6,4.0,7.0,5.0,5.0,4.0,6.0,6.0,,,,
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,5,6.0,5.0,6.0,7.0,3.0,7.0,4.0,5.0,,,
Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,10,11.0,10.0,10.0,,,,,,,,
Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,11,9.0,11.0,,,,,,,,,
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,4,3.0,6.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0,,
The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,9,10.0,9.0,9.0,9.0,,,,,,,
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,7,7.0,4.0,1.0,3.0,5.0,3.0,,,,,
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3,5.0,2.0,7.0,6.0,8.0,5.0,5.0,4.0,4.0,3.0,
Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,12,4,1.0,4.0,6.0,3.0,6.0,5.0,2.0,5.0,4.0,,
Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,12,3,4.0,7.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,12,2,2.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,
Hines Ward,Kym Johnson,Athlete,,South Korea,35,12,1,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,
Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,12,9,9.0,9.0,9.0,8.0,,,,,,,
Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,12,7,6.0,3.0,7.0,6.0,4.0,7.0,,,,,
Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,12,8,8.0,8.0,2.0,7.0,8.0,,,,,,
Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,12,11,11.0,11.0,,,,,,,,,
Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,12,5,5.0,2.0,8.0,5.0,3.0,3.0,6.0,4.0,,,
Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,12,10,10.0,10.0,10.0,,,,,,,,
Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,12,6,7.0,6.0,4.0,9.0,7.0,6.0,5.0,,,,
Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,,Italy,33,13,11,11.0,7.0,,,,,,,,,
David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,13,6,6.0,9.0,6.0,5.0,3.0,5.0,5.0,,,,
Ricki Lake,Derek Hough,Actor/Actress,New York,United States,42,13,3,4.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,3.0,
J.R. Martinez,Karina Smirnoff,Actor/Actress,Louisiana,United States,28,13,1,1.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,
Metta World Peace (Ron),Peta Murgatroyd,Athlete,New York,United States,31,13,12,12.0,,,,,,,,,,
Hope Solo,Maksim Chmerkoskiy,Athlete,Washington,United States,30,13,4,2.0,8.0,5.0,4.0,4.0,6.0,3.0,4.0,4.0,,
Chynna Phillips,Tony Dovolani,Singer/Rapper,California,United States,43,13,9,3.0,6.0,4.0,8.0,,,,,,,
Kristin Cavallari,Mark Ballas,TV Personality,Colorado,United States,24,13,10,5.0,5.0,7.0,,,,,,,,
Carson Kressley,Anna Trebunskaya,TV Personality,Pennsylvania,United States,41,13,8,9.0,10.0,8.0,9.0,8.0,,,,,,
Chaz Bono,Lacey Schwimmer,TV Personality,California,United States,42,13,7,8.0,11.0,10.0,7.0,7.0,7.0,,,,,
Nancy Grace,Tristan MacManus,TV Personality,Georgia,United States,51,13,5,10.0,4.0,9.0,6.0,6.0,3.0,6.0,5.0,,,
Rob Kardashian,Cheryl Burke,TV Personality,California,United States,24,13,2,7.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,1.0,
William Levy,Cheryl Burke,Actor/Actress,,Cuba,31,14,3,2.0,2.0,2.0,5.0,2.0,2.0,4.0,1.0,1.0,2.0,
Jack Wagner,Anna Trebunskaya,Actor/Actress,Missouri,United States,52,14,11,9.0,10.0,11.0,,,,,,,,
Sherri Sheperd,Valentin Chmerkovskiy,Actor/Actress,Illinois,United States,44,14,10,8.0,6.0,10.0,9.0,,,,,,,
Jaleel White,Kym Johnson,Actor/Actress,California,United States,35,14,7,3.0,7.0,6.0,8.0,6.0,4.0,6.0,,,,
Roshon Fegan,Chelsie Hightower,Actor/Actress,California,United States,20,14,6,5.0,5.0,5.0,4.0,5.0,7.0,5.0,5.0,,,
Melissa Gilbert,Maksim Chmerkoskiy,Actor/Actress,California,United States,47,14,5,10.0,8.0,7.0,6.0,8.0,6.0,7.0,6.0,,,
Martina Navratilova,Tony Dovolani,Athlete,,Czechoslovakia,55,14,12,12.0,12.0,,,,,,,,,
Donald Driver,Peta Murgatroyd,Athlete,Texas,United States,37,14,1,4.0,4.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,
Gavin DeGraw,Karina Smirnoff,Singer/Rapper,New York,United States,35,14,9,11.0,9.0,9.0,7.0,9.0,,,,,,
Gladys Knight,Tristan MacManus,Singer/Rapper,Georgia,United States,67,14,8,6.0,11.0,8.0,10.0,7.0,8.0,,,,,
Katherine Jenkins,Mark Ballas,Singer/Rapper,,Wales,31,14,2,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0,
Maria Menounos,Derek Hough,TV Personality,Massachusetts,United States,33,14,4,7.0,3.0,3.0,2.0,4.0,5.0,1.0,4.0,2.0,,
Gilles Marini,Peta Murgatroyd,Actor/Actress,,France,36,15,6,5.0,6.0,6.0,4.0,7.0,8.0,6.0,6.0,,,
Sabrina Bryan,Louis van Amstel,Actor/Actress,California,United States,28,15,8,7.0,5.0,7.0,7.0,6.0,5.0,,,,,
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,61,15,7,10.0,10.0,9.0,9.0,8.0,7.0,7.0,7.0,,,
Kelly Monaco,Valentin Chmerkovskiy,Actor/Actress,Pennsylvania,United States,36,15,3,3.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,
Apolo Anton Ohno,Karina Smirnoff,Athlete,Washington,United States,30,15,5,6.0,4.0,4.0,6.0,4.0,4.0,5.0,4.0,4.0,,
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,43,15,4,1.0,7.0,5.0,5.0,5.0,6.0,4.0,5.0,5.0,,
