celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,week_1_judge_percentages,week_1_judge_rank,week_2_judge_percentages,week_2_judge_rank,week_3_judge_percentages,week_3_judge_rank,week_4_judge_percentages,week_4_judge_rank,week_5_judge_percentages,week_5_judge_rank,week_6_judge_percentages,week_6_judge_rank,week_7_judge_percentages,week_7_judge_rank,week_8_judge_percentages,week_8_judge_rank,week_9_judge_percentages,week_9_judge_rank,week_10_judge_percentages,week_10_judge_rank,week_11_judge_percentages,week_11_judge_rank
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,9,0.08018867924528301,8.0,0.09130434782608696,7.0,0.10628019323671498,4.0,,,,,,,,,,,,,,,,
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,8,0.10377358490566038,3.0,0.10434782608695652,3.0,0.13043478260869565,1.0,0.12121212121212122,4.0,,,,,,,,,,,,,,
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,4,0.08962264150943396,6.0,0.11304347826086956,2.0,0.13043478260869565,1.0,0.12121212121212122,4.0,0.14917127071823205,1.0,0.19491525423728814,4.0,0.2,4.0,0.24311926605504589,4.0,,,,,,
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3,0.09905660377358491,5.0,0.12608695652173912,1.0,0.10628019323671498,4.0,0.13636363636363635,3.0,0.13812154696132597,5.0,0.2033898305084746,3.0,0.2111111111111111,1.0,0.24770642201834864,2.0,0.3333333333333333,1.0,,,,
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2,0.12264150943396226,1.0,0.09130434782608696,7.0,0.10628019323671498,4.0,0.14646464646464646,1.0,0.14917127071823205,1.0,0.23728813559322035,1.0,0.2074074074074074,3.0,0.26146788990825687,1.0,0.3333333333333333,1.0,0.5,1.0,,
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1,0.11320754716981132,2.0,0.10434782608695652,3.0,0.09178743961352658,9.0,0.12121212121212122,4.0,0.14917127071823205,1.0,0.211864406779661,2.0,0.2111111111111111,1.0,0.24770642201834864,2.0,0.3333333333333333,1.0,0.5,1.0,,
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,10,0.08490566037735849,7.0,0.09565217391304348,6.0,,,,,,,,,,,,,,,,,,
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,7,0.10377358490566038,3.0,0.1,5.0,0.10628019323671498,4.0,0.1414141414141414,2.0,0.14917127071823205,1.0,,,,,,,,,,,,
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,6,0.07075471698113207,10.0,0.09130434782608696,7.0,0.12077294685990338,3.0,0.10101010101010101,8.0,0.13259668508287292,6.0,,,,,,,,,,,,
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,5,0.07547169811320754,9.0,0.08260869565217391,10.0,0.10144927536231885,8.0,0.1111111111111111,7.0,0.13259668508287292,6.0,0.15254237288135594,5.0,0.17037037037037037,5.0,,,,,,,,
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,11,0.05660377358490566,11.0,,,,,,,,,,,,,,,,,,,,
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,6,0.0825242718446602,8.0,0.08571428571428572,6.0,0.09174311926605505,9.0,0.08421052631578947,7.0,0.10227272727272728,6.0,0.11176470588235295,7.0,0.14563106796116504,5.0,,,,,,,,
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,4,0.10194174757281553,3.0,0.08979591836734693,5.0,0.11009174311926606,1.0,0.12631578947368421,3.0,0.13636363636363635,4.0,0.1411764705882353,4.0,0.17475728155339806,3.0,0.18725099601593626,4.0,0.24472573839662448,4.0,,,,
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,8,0.07766990291262135,9.0,0.07346938775510205,11.0,0.07339449541284404,10.0,0.07894736842105263,9.0,0.07386363636363637,8.0,,,,,,,,,,,,
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3,0.11165048543689321,2.0,0.11020408163265306,1.0,0.0963302752293578,6.0,0.11052631578947368,5.0,0.1590909090909091,2.0,0.16470588235294117,1.0,0.19093851132686085,1.0,0.21115537848605578,3.0,0.25316455696202533,1.0,0.3281854310465651,3.0,,
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1,0.10194174757281553,3.0,0.10612244897959183,2.0,0.10550458715596331,5.0,0.1368421052631579,2.0,0.17045454545454544,1.0,0.16470588235294117,1.0,0.17475728155339806,3.0,0.23107569721115537,1.0,0.2489451476793249,3.0,0.33976850076853665,1.0,,
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,10,0.09223300970873786,5.0,0.08163265306122448,10.0,0.0963302752293578,6.0,,,,,,,,,,,,,,,,
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,11,0.09223300970873786,5.0,0.08571428571428572,6.0,,,,,,,,,,,,,,,,,,
Heather Mills,Jonathan Roberts,Model,,England,39,4,7,0.08737864077669903,7.0,0.09795918367346938,3.0,0.11009174311926606,1.0,0.12105263157894737,4.0,0.11931818181818182,5.0,0.13529411764705881,5.0,,,,,,,,,,
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,5,0.06310679611650485,11.0,0.08571428571428572,6.0,0.0963302752293578,6.0,0.11052631578947368,5.0,0.09659090909090909,7.0,0.12352941176470589,6.0,0.12297734627831715,6.0,0.15139442231075698,5.0,,,,,,
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2,0.11650485436893204,1.0,0.09795918367346938,3.0,0.11009174311926606,1.0,0.14736842105263157,1.0,0.14204545454545456,3.0,0.1588235294117647,3.0,0.19093851132686085,1.0,0.21912350597609562,2.0,0.25316455696202533,1.0,0.3320460681848982,2.0,,
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,9,0.07281553398058252,10.0,0.08571428571428572,6.0,0.11009174311926606,1.0,0.08421052631578947,7.0,,,,,,,,,,,,,,
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,5,0.08171206225680934,5.0,0.08823529411764706,5.0,0.09623430962343096,7.0,0.11538461538461539,2.0,0.1306532663316583,3.0,0.1388888888888889,4.0,0.16346153846153846,5.0,0.19391634980988592,3.0,,,,,,
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,6,0.0933852140077821,3.0,0.08823529411764706,5.0,0.11297071129707113,1.0,0.1111111111111111,5.0,0.1306532663316583,3.0,0.12222222222222222,7.0,0.16025641025641027,6.0,,,,,,,,
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,7,0.10116731517509728,1.0,0.1092436974789916,2.0,0.11297071129707113,1.0,0.1282051282051282,1.0,0.1407035175879397,2.0,0.1388888888888889,4.0,,,,,,,,,,
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,4,0.08171206225680934,5.0,0.08823529411764706,5.0,0.1087866108786611,4.0,0.11538461538461539,2.0,0.12562814070351758,5.0,0.15,3.0,0.16987179487179488,2.0,0.19011406844106463,4.0,0.24786324786324787,3.0,,,,
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,9,0.07003891050583658,11.0,0.08823529411764706,5.0,0.08786610878661087,8.0,0.09829059829059829,8.0,,,,,,,,,,,,,,
Josie Maran,Alec Mazo,Model,California,United States,29,5,12,0.0622568093385214,12.0,,,,,,,,,,,,,,,,,,,,
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,11,0.08171206225680934,5.0,0.08823529411764706,5.0,,,,,,,,,,,,,,,,,,
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1,0.09727626459143969,2.0,0.1134453781512605,1.0,0.100418410041841,6.0,0.11538461538461539,2.0,0.11557788944723618,6.0,0.15555555555555556,2.0,0.16666666666666666,3.0,0.21673003802281368,1.0,0.2564102564102564,1.0,0.35294095402801606,2.0,,
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2,0.0933852140077821,3.0,0.09663865546218488,4.0,0.11297071129707113,1.0,0.1111111111111111,5.0,0.1457286432160804,1.0,0.16666666666666666,1.0,0.17307692307692307,1.0,0.21292775665399238,2.0,0.2564102564102564,1.0,0.35714222688890257,1.0,,
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,10,0.07392996108949416,10.0,0.06302521008403361,11.0,0.07531380753138076,10.0,,,,,,,,,,,,,,,,
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3,0.08171206225680934,5.0,0.10084033613445378,3.0,0.1087866108786611,4.0,0.1111111111111111,5.0,0.10552763819095477,7.0,0.12777777777777777,6.0,0.16666666666666666,3.0,0.18631178707224336,5.0,0.23931623931623933,4.0,0.2899168190830813,3.0,,
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,8,0.08171206225680934,5.0,0.07563025210084033,10.0,0.08368200836820083,9.0,0.09401709401709402,9.0,0.10552763819095477,7.0,,,,,,,,,,,,
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3,0.08641975308641975,6.0,0.07782101167315175,8.0,0.10964912280701754,3.0,0.11555555555555555,4.0,0.11734693877551021,5.0,0.15,3.0,0.1488673139158576,6.0,0.21348314606741572,1.0,0.2545454545454545,2.0,0.3076923076923077,3.0,,
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,10,0.07407407407407407,8.0,0.0622568093385214,11.0,0.09210526315789473,6.0,,,,,,,,,,,,,,,,
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,8,0.09876543209876543,2.0,0.08171206225680934,6.0,0.11403508771929824,2.0,0.09777777777777778,8.0,0.10714285714285714,8.0,,,,,,,,,,,,
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,7,0.09053497942386832,4.0,0.0933852140077821,4.0,0.09210526315789473,6.0,0.10666666666666667,5.0,0.11224489795918367,7.0,0.11666666666666667,7.0,,,,,,,,,,
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,6,0.08641975308641975,6.0,0.0933852140077821,4.0,0.10526315789473684,4.0,0.12444444444444444,3.0,0.11734693877551021,5.0,0.13333333333333333,5.0,0.1650485436893204,4.0,,,,,,,,
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,4,0.07407407407407407,8.0,0.08171206225680934,6.0,0.08333333333333333,10.0,0.10666666666666667,5.0,0.12244897959183673,4.0,0.14444444444444443,4.0,0.16828478964401294,3.0,0.18726591760299627,5.0,0.23636363636363636,4.0,,,,
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2,0.09053497942386832,4.0,0.10505836575875487,1.0,0.10087719298245613,5.0,0.1288888888888889,1.0,0.1377551020408163,2.0,0.13333333333333333,5.0,0.1779935275080906,1.0,0.1947565543071161,4.0,0.25,3.0,0.33727810650887574,2.0,,
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1,0.1111111111111111,1.0,0.10505836575875487,1.0,0.11842105263157894,1.0,0.1288888888888889,1.0,0.14795918367346939,1.0,0.16666666666666666,1.0,0.17475728155339806,2.0,0.20599250936329588,2.0,0.2590909090909091,1.0,0.35502958579881655,1.0,,
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,11,0.06172839506172839,11.0,0.058365758754863814,12.0,,,,,,,,,,,,,,,,,,
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,12,0.06584362139917696,10.0,0.06614785992217899,10.0,,,,,,,,,,,,,,,,,,
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,9,0.06172839506172839,11.0,0.07392996108949416,9.0,0.09210526315789473,6.0,0.08444444444444445,9.0,,,,,,,,,,,,,,
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,5,0.09876543209876543,2.0,0.10116731517509728,3.0,0.09210526315789473,6.0,0.10666666666666667,5.0,0.1377551020408163,2.0,0.15555555555555556,2.0,0.1650485436893204,4.0,0.19850187265917604,3.0,,,,,,
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,12,0.07341269841269842,8.0,,,,,,,,,,,,,,,,,,,,
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,7,0.06349206349206349,12.0,0.06787330316742081,11.0,0.08040201005025126,9.0,0.10837438423645321,5.0,0.1076923076923077,7.0,0.09375,7.0,,,,,,,,,,
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,6,0.07341269841269842,8.0,0.09502262443438914,4.0,0.10552763819095477,6.0,0.11822660098522167,3.0,0.11282051282051282,5.0,0.14375,4.0,0.16326530612244897,4.0,,,,,,,,
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,4,0.08134920634920635,6.0,0.09502262443438914,4.0,0.10552763819095477,6.0,0.11330049261083744,4.0,0.14358974358974358,2.0,0.14375,4.0,0.14965986394557823,5.0,0.18823529411764706,4.0,0.22885572139303484,4.0,,,,
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,10,0.08333333333333333,5.0,0.09502262443438914,4.0,,,,,,,,,,,,,,,,,,
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,5,0.07738095238095238,7.0,0.08597285067873303,8.0,0.12060301507537688,3.0,0.09852216748768473,8.0,0.13846153846153847,3.0,0.13125,6.0,0.17006802721088435,2.0,0.18823529411764706,4.0,,,,,,
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2,0.08531746031746032,3.0,0.1085972850678733,1.0,0.12562814070351758,2.0,0.10837438423645321,5.0,0.1282051282051282,4.0,0.15625,3.0,0.14285714285714285,6.0,0.21176470588235294,2.0,0.24378109452736318,2.0,0.3235294117647059,2.0,,
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,13,0.047619047619047616,13.0,,,,,,,,,,,,,,,,,,,,
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,8,0.08928571428571429,2.0,0.10407239819004525,3.0,0.11055276381909548,4.0,0.10837438423645321,5.0,0.11282051282051282,5.0,,,,,,,,,,,,
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3,0.08531746031746032,3.0,0.09049773755656108,7.0,0.11055276381909548,4.0,0.12807881773399016,1.0,0.1076923076923077,7.0,0.16875,1.0,0.17006802721088435,2.0,0.19607843137254902,3.0,0.2835820895522388,1.0,0.3235294117647059,2.0,,
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,11,0.07341269841269842,8.0,0.07692307692307693,9.0,,,,,,,,,,,,,,,,,,
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,9,0.06944444444444445,11.0,0.07239819004524888,10.0,0.10050251256281408,8.0,0.08866995073891626,9.0,,,,,,,,,,,,,,
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1,0.09722222222222222,1.0,0.1085972850678733,1.0,0.1407035175879397,1.0,0.12807881773399016,1.0,0.14871794871794872,1.0,0.1625,2.0,0.20408163265306123,1.0,0.21568627450980393,1.0,0.24378109452736318,2.0,0.35294117647058826,1.0,,
Gilles Marini,Cheryl Burke,Actor/Actress,,France,33,8,2,0.09876543209876543,1.0,0.1018867924528302,1.0,0.1062992125984252,1.0,0.12396694214876033,1.0,0.1380952380952381,1.0,0.13978494623655913,3.0,0.14835164835164835,3.0,0.1762820512820513,2.0,0.20973782771535582,2.0,0.273972602739726,1.0,0.3314285714285714,2.0
Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,8,12,0.07407407407407407,7.0,0.07924528301886792,5.0,0.06299212598425197,10.0,,,,,,,,,,,,,,,,
David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,8,9,0.07818930041152264,6.0,0.06415094339622641,11.0,0.09448818897637795,5.0,0.09090909090909091,6.0,0.10476190476190476,6.0,,,,,,,,,,,,
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,7,0.06584362139917696,11.0,0.07547169811320754,6.0,0.07874015748031496,8.0,0.07851239669421488,8.0,0.09523809523809523,8.0,0.11827956989247312,6.0,0.11538461538461539,7.0,,,,,,,,
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,4,0.05761316872427984,12.0,0.07547169811320754,6.0,0.09055118110236221,6.0,0.10330578512396695,4.0,0.1,7.0,0.0967741935483871,7.0,0.13186813186813187,6.0,0.16666666666666666,3.0,0.17228464419475656,5.0,0.2191780821917808,4.0,,
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1,0.09465020576131687,2.0,0.09056603773584905,3.0,0.1062992125984252,1.0,0.10330578512396695,4.0,0.12380952380952381,2.0,0.13978494623655913,3.0,0.15384615384615385,2.0,0.16666666666666666,3.0,0.20973782771535582,2.0,0.2557077625570776,2.0,0.34285714285714286,1.0
Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,8,10,0.053497942386831275,13.0,0.06415094339622641,11.0,0.03937007874015748,12.0,0.049586776859504134,11.0,,,,,,,,,,,,,,
Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,8,13,0.06995884773662552,9.0,0.06792452830188679,9.0,,,,,,,,,,,,,,,,,,
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,6,0.0823045267489712,5.0,0.07547169811320754,6.0,0.09055118110236221,6.0,0.09090909090909091,6.0,0.10952380952380952,5.0,0.12365591397849462,5.0,0.14835164835164835,3.0,0.16346153846153846,5.0,,,,,,
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,5,0.08641975308641975,4.0,0.08679245283018867,4.0,0.0984251968503937,4.0,0.1115702479338843,3.0,0.12380952380952381,2.0,0.15053763440860216,1.0,0.14285714285714285,5.0,0.1794871794871795,1.0,0.1947565543071161,4.0,,,,
Steve-O,Lacey Schwimmer,TV Personality,,England,34,8,8,0.06995884773662552,9.0,0.052830188679245285,13.0,0.05905511811023622,11.0,0.06198347107438017,10.0,0.08571428571428572,9.0,0.08602150537634409,8.0,,,,,,,,,,
Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,8,11,0.07407407407407407,7.0,0.06792452830188679,9.0,0.06692913385826772,9.0,0.06611570247933884,9.0,,,,,,,,,,,,,,
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3,0.09465020576131687,2.0,0.09811320754716982,2.0,0.1062992125984252,1.0,0.11983471074380166,2.0,0.11904761904761904,4.0,0.14516129032258066,2.0,0.15934065934065933,1.0,0.14743589743589744,6.0,0.21348314606741572,1.0,0.2511415525114155,3.0,0.32571428571428573,3.0
Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,9,16,0.046797967676719905,15.0,,,,,,,,,,,,,,,,,,,,
Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,9,12,0.05418740566465287,10.0,0.07142857142857142,4.0,0.06589147286821706,10.0,,,,,,,,,,,,,,,,
Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,9,0.05911353345234858,9.0,0.06462585034013606,9.0,0.07364341085271318,8.0,0.11570247933884298,1.0,0.09504132231404959,7.0,0.09230762721870961,8.0,,,,,,,,,,
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,6,0.0714283603088091,6.0,0.07142857142857142,4.0,0.06976744186046512,9.0,0.09090909090909091,7.0,0.10743801652892562,3.0,0.12307734911390078,4.0,0.1225071225071225,7.0,,,,,,,,
Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,9,11,0.05418740566465287,10.0,0.06462585034013606,9.0,0.06589147286821706,10.0,0.07024793388429752,9.0,,,,,,,,,,,,,,
